1990 Item,Higher Confidence Source,Final Confidence Level,Final Predicted HS Code
2-Mercaptobenzothiazole; and N-(Oxydiethylene)benzothiazole-2-sulfenamide,HF,1.0000001192092896,29342015
2-Phenylimidazole,HF,1.0000003576278689,29332910
"3- or 4-thread twill fabrics of cotton, including cross twill, 85% or more cotton by weight, not over 200 g/m2, of yarns of different colors",HF,1.000000238418579,52084300
"3- or 4-thread twill, cont. less than 85% polyester staple fibers mixed mainly or solely with cotton, not over 170 g/m2, dyed",HF,0.878219723701477,55142200
"3-Amino-1,2,4-triazole",HF,1.0000004768371582,29339985
"4-Amino-2-(N,N-Diethylamino)-toluene hydrochloride; m- and o-phenylenediamine; toluene-2,4 and -2,5-diamine; and toluene-2,5-diamine sulfate",HF,0.998193085193634,29215110
6-Chloro-m-cresol [OH=1]; m-chlorophenol; and chlorothymol,HF,1.000000238418579,29081910
"AC motors nesi, multi-phase, of an output exceeding 75 kW but under 149.2 kW",HF,0.9336509704589844,85015340
"AC motors, nesi, multi-phase, 149.2 kW or more but not exceeding 150 kW",HF,0.965559720993042,85015360
"AC motors, nesi, multi-phase, of an output exceeding 735 W but under 746 W",HF,0.967431664466858,85015150
"Abaca (Manila hemp or Musa textilis Nee) fibers, processed but not spun; abaca tow, noils and waste (incl. yarn waste and garnetted stock)",HF,0.7083176374435425,53050000
"Accessories of machines of heading 8447 or of their auxiliary machinery, nesi",HF,0.956674575805664,84485950
"Acetone, derived in whole or in part from cumene",HF,1.0,29141110
"Acrylonitrile-butadiene rubber (NBR), latex, in primary forms or in plates, sheets or strip",HF,1.0000003576278689,40025100
"Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms",HF,1.0,39033000
Addressing machines and address plate embossing machines,HF,1.000000238418579,84729005
"Agricultural, horticultural or forestry hand tools, and parts thereof, of base metal",HF,0.9077707529067992,82019060
"Air conditioning machines incorporating a refrigerating unit, nesi",HF,0.9432801008224488,84158201
"Air dried or sun dried mushrooms, whole, cut, sliced, broken or in powder, but not further prepared",HF,0.8983629941940308,7123110
Aircraft launching gear and parts thereof; deck-arrestors or similar gear and parts thereof,HF,1.0000003576278689,88051000
"Alarm clocks nesi, movement measuring over 50 mm wide, not battery or AC powered, valued over $5 each",HF,0.8931028842926025,91051950
"Aluminum foil, not exceeding 0.2 mm thickness, backed, nesi",HF,0.7904245853424072,76071930
Aluminum phosphate,HF,1.0000003576278689,28352910
"Aluminum reservoirs, tanks, vats and like containers for any material (except compressed or liquefied gas), exceeding 300 liters, not fitted",HF,0.9086456298828124,76110000
"Aluminum screws, bolts, nuts, screw hooks, washers and similar articles having shanks, threads, or holes over 6 mm in diameter",HF,0.9562709331512452,76161070
Aluminum waste and scrap,HF,0.9572434425354004,76020000
"Aluminum wire, not alloyed, of which the maximum cross-sectional dimension exceeds 7 mm",HF,0.947815239429474,76052100
Analog or hybrid automatic data processing machines,HF,0.6034075021743774,84716010
Analog or linear monolithic electronic integrated circuits,GPT,0.6955137848854065,85423900
"Anchovies, whole or in pieces but not minced, in oil, in airtight containers, the first 3,000 metric tons per year",HF,0.8448411226272583,16041620
Anhydrous ammonia,HF,1.000000238418579,28141000
"Animal carving materials and articles of these materials, nesi",HF,0.8721153736114502,96019080
"Animal products nesi; dead animals of chapter 1, unfit for human consumption",HF,0.9074585437774658,5119940
Antifreezing preparations and prepared de-icing fluids,HF,0.9999998807907104,38200000
