1963 Item,Predicted HS Code,Associated 2023 Description,Confidence Score
Willow: prepared for basket makers' use,46021945,"Basketwork and other articles, neosi, of willow or wood",0.7193652391433716
"Narrow fabrics: Of vegetable fibers: Webbing, of jute",58063920,"Narrow woven fabric (not good of heading 5807), not pile, of vegetable fibers except cotton, not cont by wt 5% or more elastomer yarn/rubber",0.7091495394706726
Lawn-tennis equipment and parts thereof: Balls,95069930,"Lawn-tennis articles and equipment (o/than balls and rackets), and parts & accessories thereof",0.8146033883094788
Scrap tobacco: If product of Cuba,24013006,"Tobacco refuse, from cigar leaf, tobacco stems,  cut, ground or pulverized",0.5986325740814209
Hormones: Synthetic,29379090,"Other hormones,their derivatives and structural analogues,other steroid derivatives and structural analogue used primarily as hormones,nesoi",0.5986692309379578
"Fish, preserved or preserved, etc. (con.):  Other",3083000,"Jellly fish, live, fresh, chilled,  frozen, dried, salted smoked, or in brine",0.6842571496963501
"Live birds: Chickens, ducks, geese, guineas, and turkeys: Other",1063901,"Live birds, other than poultry, birds of prey or psittaciforme birds",0.7715436220169067
"Fish, prepared or preserved in any manner, not in oil, in airtight containers: Pollock: Product of Cuba (except smoked pollock)",16041932,"Other fish, excluding bonito, yellowtail and pollock, in airtight containers, in oil",0.6677502989768982
"Clays, whether or not washed, ground, or otherwise beneficlated: Bentonite",25081000,"Bentonite clay, whether or not calcined",0.7535738945007324
"Pineapples, fresh, or prepared or preserved:  Fresh: In bulk: If products of Cuba",8043020,"Pineapples, fresh or dried, not reduced in size, in bulk",0.6364502906799316
Internal combustion engines and parts thereof: Parts: Other parts: Other,84091000,Parts for internal combustion aircraft engines,0.7986900210380554
Copper waste and scrap: Nickel silver,75030000,"Nickel, waste and scrap",0.6957529187202454
"Pile fabrics, in which the pile was inserted or knotted during the weaving or knitting, whether or not the pile covers the entire surface, and whether the pile is wholly or partly cut or is not cut: Of cotton: Corduroys: Other",60019100,Knitted or crocheted pile fabrics (other than long pile or looped pile) of cotton,0.7047438025474548
Parts of brass-wind instruments,92099940,"Parts & access. nesoi,  for woodwind and brass-wind musical instruments",0.6422807574272156
Salts of organic acids (con.): Potassium salts: Bitartrate: Containing 90 percent or more potassium bitartrate by weight: Other,29181320,Potassium bitartrate (Cream of tartar),0.6610779762268066
Sodium compounds: Borate: Other,28402000,"Borates, other than disodium tetraborate (refined borax)",0.6055591702461243
"Gloves of leather except gloves in item 705.35: Seamed: Men's, lined: Not seamed wholly or in part by hand: Valued not over $26 per dozen pairs",42032930,"Men's gloves, mittens and mitts of leather or composition leather, nesoi, seamed",0.718722939491272
Hempseed.,12079903,"Other oil seeds and oleaginous fruits whether or not broken, incl niger seeds, hemp seeds and seeds nesoi",0.6208280324935913
"Lenses, prisms, mirrors, and other optical elements, all of the foregoing whether mounted or not mounted: Mounted: Lenses: Other",90015000,"Spectacle lenses of materials other than glass, unmounted",0.6999208927154541
Garden and field seeds: Kohlrabi,12093000,Seeds of herbaceous plants cultivated principally for their flowers,0.5956588983535767
"Yarns of cotton (con.): Wholly of cotton (con.): Not bleached, not mercerized, etc. (con.): Of number 46",52084160,"Plain weave fabrics of cotton, 85% or more cotton by weight, weighing not over 100 g/m2, of numbers 43-68, of yarns of different colors",0.7606214284896851
"Other edible nuts, etc. (con.): Shelled, blanched or otherwise prepared, etc. (con.):  Filberts",8022200,"Hazelnuts or filberts, fresh or dried, shelled",0.728960394859314
"Flexible metal hose or tubing, whether covered with wire or other material, and with or without fittings",83079030,"Base metal (o/than iron or steel) flexible tubing, with fittings",0.7209066152572632
"Tubes, of paper, commonly used for holding thread or yarn: Parallel",48221000,"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard of a kind used for winding textile yarn",0.6174429059028625
"Drums, flasks, casks, cans, boxes, lift vans, and other containers (except pressure containers In items 640.05 and 640.10 and collapsible tubes in item 640.40), all the foregoing, of base metal, chiefly used in the packing, transporting, or marketing of goods: Other",76121000,"Aluminum, collapsible tubular containers, w/capacity of 300 l or less",0.6643216609954834
"Floor coverings not specially provided for, of textile materials: Other: Other: Woven, but not made on a power-driven loom",59049090,"Floor coverings consisting of a coating or covering applied on textile backing, with textile base other than of needleloom felt or nonwovens",0.768932044506073
"Yarns of cotton: In chief value, but not wholly, of cotton: Wholly of cotton: Not bleached, not mercerized, not colored, not combed, and not plied: Of number 41",52084160,"Plain weave fabrics of cotton, 85% or more cotton by weight, weighing not over 100 g/m2, of numbers 43-68, of yarns of different colors",0.7283130884170532
"Other bedding, not ornamented: Of silk",63022210,"Bed linen, not knitted or crocheted, printed, of manmade fibers, containing embroidery, lace, braid, etc or applique work",0.6630854606628418
"Bulbs, roots, rootstocks, clumps, corms, tubers, and barbaceous perennials: Hyacinth bulbs",6012010,"Hyacinth bulbs, without soil attached, in growth or in flower",0.8293815851211548
"Other base metals, wrought",72286010,"Alloy tool steel (o/than hi-speed), bars and rods, further worked than hot-rolled, forged, cold-formed or cold-finished",0.5531288385391235
"Glass-working machines (other than machines for working glass in the cold); machines for assembling electric filament and discharge lamps and electronic tubes; all the foregoing and parts thereof: Glass-working machines, and parts thereof",84759090,Parts of machines for manufacturing or hot working glass or glassware,0.7857091426849365
"Bulbs, roots, rootstocks, clumps, corms, tubers, and barbaceous perennials: Other, imported for horticultural purposes",6042000,"Fresh foliage, branches, and other parts of plants for ornamental purposes",0.6457642316818237
Wire of iron or steel (con.): Round wire: Other than alloy iron or steel: Under 0.060 inch in diameter,72299050,"Alloy steel (o/than hi-speed/silico-mang.), round wire",0.7331275939941406
"Surveying (including photogrammetrical surveying), hydrographic, navigational, meteorological, hydrological, and geophysical instruments; compasses; rangeflnders; parts of the foregoing Instruments: Other instruments and parts: Anemometers, and parts thereof: Anemometers",90292040,"Speedometers and tachometers, other than bicycle speedometers",0.5835881233215332
"Work and tool holders and other parts of, and accesso- ries used principally with,machine tools; tool holders for the mechanical hand tools provided for in items 651.27, 674.70, and 683.20: Other: Parts: Other: Parts of metal-working machine tools for cutting or hobbing gears",84669330,Certain specified parts and accessories of metal working machine tools for cutting gears,0.7110608816146851
"Articles chiefly used for preparing, serving, or storing food or beverages, or food or beverage ingredients: Of coarse-grained earthenware, or of coarse- grained stoneware",70134910,"Glassware for table or kitchen purposes (o/than drinking glasses), of pressed and toughened glass, nesoi",0.6130599975585938
Live Animals: Others,1061991,"Live mammals, not elsewhere specified or included",0.7740391492843628
"Fruit juices, including mixed fruit juices, concentrated, not concentrated, whether or not sweetened: Mixed or not mixed, containing over 1.0 percent of ethyl alcohol by volume",20099040,"Mixtures of fruit juices, or mixtures of vegetable and fruit juices, concentrated or not concentrated",0.6950958967208862
Zinc powders and flakes: Other,79039060,"Zinc, flakes",0.6743652820587158
"Iron or steel waste and scrap: Tin plate waste or scrap: Other: 1/ Not containing chromium, molybdenum, tungsten, or vanadium in amounts specified in headnote 4 of this subpart",26209910,"Ash and residues (other than from the manufacture of iron or steel), containing mainly vanadium",0.6001116037368774
Cobalt compounds: Sulfate,28332910,Cobalt sulfate,0.7021699547767639
"Pliers, nippers, and pincers, and hinged tools for holding and splicing wire; tin snips, bolt and chain clippers, and other metal cutting shears; pipe cutters and other pipe tools; spanners and wrenches; files (except nail files), and rasps; all the foregoing which are hand tools, and metal parts thereof: Pliers, nippers, pincers, and hinged tools for holding and splicing wire, and parts of the foregoing: Other (except parts)",82032080,"Base metal parts of pliers (including cutting pliers), pincers, tweezers and similar tools",0.7322472929954529
"Fruit peel, crude, dried, or otherwise prepared or preserved: Crude, dried, or in brine: Lemon",20083020,"Peel of lemons, otherwise prepared or preserved, nesoi",0.7275023460388184
"Fluid milk and cream, fresh or sour: Buttermilk",4039020,Fluid buttermilk,0.6835646629333496
"Fatty substances, not sulfonated or sulfated, etc. (con.): Esters: Of vegetable origin: Other",34024220,"Fatty substances of animal, vegetable or microbial origin; non-ionic organic surface-active agents, other than aromatic or modified aromatic",0.6392949819564819
"Hosiery: Other hosiery, not ornamented: Of silk",61159919,"Hosiery nesoi, knitted or crocheted, of artificial fibers, other than those containing lace or net",0.658765435218811
